Date,Close,Open,Low,High
4/29/2019 16:00:00,1938.43,1949,1934.09,1956.34
4/30/2019 16:00:00,1926.52,1930.1,1906.95,1935.71
5/1/2019 16:00:00,1911.52,1933.09,1910.55,1943.64
5/2/2019 16:00:00,1900.82,1913.33,1881.87,1921.55
5/3/2019 16:00:00,1962.46,1949,1936,1964.4
5/6/2019 16:00:00,1950.55,1917.98,1910.5,1959
5/7/2019 16:00:00,1921,1939.99,1903.38,1949.1
5/8/2019 16:00:00,1917.77,1918.87,1910,1935.37
5/9/2019 16:00:00,1899.87,1900,1876,1909.4
5/10/2019 16:00:00,1889.98,1898,1856,1903.79
5/13/2019 16:00:00,1822.68,1836.56,1818,1846.54
5/14/2019 16:00:00,1840.12,1839.5,1815.75,1852.44
5/15/2019 16:00:00,1871.15,1827.95,1823,1874.43
5/16/2019 16:00:00,1907.57,1885.94,1882.29,1917.51
5/17/2019 16:00:00,1869,1893.05,1867.33,1910.53
5/20/2019 16:00:00,1858.97,1852.69,1835.54,1867.78
5/21/2019 16:00:00,1857.52,1874.79,1846,1879
5/22/2019 16:00:00,1859.68,1851.78,1851,1871.49
5/23/2019 16:00:00,1815.48,1836.59,1804.2,1844
5/24/2019 16:00:00,1823.28,1835.89,1817.85,1841.76
5/28/2019 16:00:00,1836.43,1832.75,1827.35,1849.27
5/29/2019 16:00:00,1819.19,1823.12,1807.53,1830
5/30/2019 16:00:00,1816.32,1825.49,1807.83,1829.47
5/31/2019 16:00:00,1775.07,1790.01,1772.7,1795.59
6/3/2019 16:00:00,1692.69,1760.01,1672,1766.29
6/4/2019 16:00:00,1729.56,1699.24,1680.89,1730.82
6/5/2019 16:00:00,1738.5,1749.6,1715.25,1752
6/6/2019 16:00:00,1754.36,1737.71,1726.13,1760
6/7/2019 16:00:00,1804.03,1763.7,1759.49,1806.25
6/10/2019 16:00:00,1860.63,1822,1818,1884.87
6/11/2019 16:00:00,1863.7,1883.25,1858,1893.7
6/12/2019 16:00:00,1855.32,1853.98,1844.38,1865
6/13/2019 16:00:00,1870.3,1866.72,1862.22,1883.09
6/14/2019 16:00:00,1869.67,1864,1859,1876
6/17/2019 16:00:00,1886.03,1876.5,1875.45,1895.69
6/18/2019 16:00:00,1901.37,1901.35,1899.79,1921.67
6/19/2019 16:00:00,1908.79,1907.84,1892.47,1919.58
6/20/2019 16:00:00,1918.19,1933.33,1905.8,1935.2
6/21/2019 16:00:00,1911.3,1916.1,1907.58,1925.95
6/24/2019 16:00:00,1913.9,1912.66,1901.3,1916.86
6/25/2019 16:00:00,1878.27,1911.84,1872.42,1916.39
6/26/2019 16:00:00,1897.83,1892.48,1887.32,1903.8
6/27/2019 16:00:00,1904.28,1902,1898.04,1911.24
6/28/2019 16:00:00,1893.63,1909.1,1884,1912.94
7/1/2019 16:00:00,1922.19,1922.98,1914.66,1929.82
7/2/2019 16:00:00,1934.31,1919.38,1906.63,1934.79
7/3/2019 13:00:00,1939,1935.89,1930.5,1941.59
7/5/2019 16:00:00,1942.91,1928.6,1925.3,1945.9
7/8/2019 16:00:00,1952.32,1934.12,1928.25,1956
7/9/2019 16:00:00,1988.3,1947.8,1943.48,1990.01
7/10/2019 16:00:00,2017.41,1996.51,1995.4,2024.94
7/11/2019 16:00:00,2001.07,2025.62,1995.3,2035.8
7/12/2019 16:00:00,2011,2008.27,2003.87,2017
7/15/2019 16:00:00,2020.99,2021.4,2001.55,2022.9
7/16/2019 16:00:00,2009.9,2010.58,2001.22,2026.32
7/17/2019 16:00:00,1992.03,2007.05,1992.03,2012
7/18/2019 16:00:00,1977.9,1980.01,1951.55,1987.5
7/19/2019 16:00:00,1964.52,1991.21,1962.23,1996
7/22/2019 16:00:00,1985.63,1971.14,1958.26,1989
7/23/2019 16:00:00,1994.49,1995.99,1973.13,1997.79
7/24/2019 16:00:00,2000.81,1969.3,1965.87,2001.3
7/25/2019 16:00:00,1973.82,2001,1972.72,2001.2
7/26/2019 16:00:00,1943.05,1942,1924.51,1950.9
7/29/2019 16:00:00,1912.45,1930,1890.54,1932.23
7/30/2019 16:00:00,1898.53,1891.12,1883.48,1909.89
7/31/2019 16:00:00,1866.78,1898.11,1849.44,1899.55
8/1/2019 16:00:00,1855.32,1871.72,1844.01,1897.92
8/2/2019 16:00:00,1823.24,1845.07,1808.02,1846.36
8/5/2019 16:00:00,1765.13,1770.22,1748.78,1788.67
8/6/2019 16:00:00,1787.83,1792.23,1753.4,1793.77
8/7/2019 16:00:00,1793.4,1773.99,1757,1798.93
8/8/2019 16:00:00,1832.89,1806,1798.11,1834.26
8/9/2019 16:00:00,1807.58,1828.95,1802.22,1831.09
8/12/2019 16:00:00,1784.92,1795.99,1777,1800.98
8/13/2019 16:00:00,1824.34,1783,1780,1831.74
8/14/2019 16:00:00,1762.96,1793.01,1757.22,1795.65
8/15/2019 16:00:00,1776.12,1781.99,1761.96,1788
8/16/2019 16:00:00,1792.57,1792.89,1784.55,1802.91
8/19/2019 16:00:00,1816.12,1818.08,1812.61,1826
8/20/2019 16:00:00,1801.38,1814.5,1799.88,1816.82
8/21/2019 16:00:00,1823.54,1819.39,1815,1829.58
8/22/2019 16:00:00,1805.6,1828,1800.1,1829.41
8/23/2019 16:00:00,1749.62,1793.03,1745.23,1804.9
8/26/2019 16:00:00,1768.87,1766.91,1743.51,1770
8/27/2019 16:00:00,1761.83,1775.73,1746.68,1779.4
8/28/2019 16:00:00,1764.25,1755,1744.05,1767.86
8/29/2019 16:00:00,1786.4,1783,1777.25,1798.55
8/30/2019 16:00:00,1776.29,1797.49,1764.57,1799.74
9/3/2019 16:00:00,1789.84,1770,1768,1800.8
9/4/2019 16:00:00,1800.62,1805,1796.23,1807.63
9/5/2019 16:00:00,1840.72,1821.95,1815.58,1842
9/6/2019 16:00:00,1833.51,1838.22,1826.4,1840.65
9/9/2019 16:00:00,1831.35,1841,1824.61,1850
9/10/2019 16:00:00,1820.55,1822.75,1805.34,1825.81
9/11/2019 16:00:00,1822.99,1812.14,1809.08,1833.42
9/12/2019 16:00:00,1843.55,1837.63,1834.28,1853.66
9/13/2019 16:00:00,1839.34,1842.01,1835.17,1846.12
9/16/2019 16:00:00,1807.84,1824.02,1800.2,1825.69
9/17/2019 16:00:00,1822.55,1807.08,1804.1,1823.99
9/18/2019 16:00:00,1817.46,1817.04,1795.5,1822.06
9/19/2019 16:00:00,1821.5,1821.02,1817.9,1832.57
9/20/2019 16:00:00,1794.16,1821.71,1780.92,1830.63
9/23/2019 16:00:00,1785.3,1777,1767.32,1792.7
9/24/2019 16:00:00,1741.61,1790.61,1735.55,1795.71
9/25/2019 16:00:00,1768.33,1747.36,1723,1773
9/26/2019 16:00:00,1739.84,1762.79,1731.5,1763.37
9/27/2019 16:00:00,1725.45,1748,1713.82,1749.12
9/30/2019 16:00:00,1735.91,1726.99,1709.22,1737.46
10/1/2019 16:00:00,1735.65,1746,1728.41,1755.6
10/2/2019 16:00:00,1713.23,1727.74,1705,1728.89
10/3/2019 16:00:00,1724.42,1713,1685.06,1725
10/4/2019 16:00:00,1739.65,1726.02,1719.23,1740.58
10/7/2019 16:00:00,1732.66,1731.63,1723.7,1747.83
10/8/2019 16:00:00,1705.51,1722.49,1705,1727
10/9/2019 16:00:00,1721.99,1719.61,1714.36,1729.95
10/10/2019 16:00:00,1720.26,1725.24,1713.75,1738.29
10/11/2019 16:00:00,1731.92,1742.92,1729.86,1745.45
10/14/2019 16:00:00,1736.43,1728.91,1722,1741.89
10/15/2019 16:00:00,1767.38,1742.14,1740.62,1776.45
10/16/2019 16:00:00,1777.43,1773.33,1770.52,1786.24
10/17/2019 16:00:00,1787.48,1796.49,1782.02,1798.85
10/18/2019 16:00:00,1757.51,1787.8,1749.2,1793.98
10/21/2019 16:00:00,1785.66,1769.66,1765,1785.88
10/22/2019 16:00:00,1765.73,1788.15,1762,1789.78
10/23/2019 16:00:00,1762.17,1761.3,1742,1770.05
10/24/2019 16:00:00,1780.78,1771.09,1760.27,1788.34
10/25/2019 16:00:00,1761.33,1697.55,1695,1764.21
